District,ac_no,ac_name,Winner Candidate 2014,Winner Party 2014,Winner Votes,Runner Up Candidate 2014,Runner Up Party 2014,Runner Up Votes 2014,Margin 2014,Turnout(%) 2019,Winner Candidate 2019,Winner Party 2019,Winner Votes 2019,Runner Up Candidate 2019,Runner Up Party 2019,Runner Up Votes 2019,Margin 2019,Status
Guntur,205,Tadikonda (SC),Tenali Sravan Kumar,Telugu Desam Party,80847,Heni Christina Kathera,YSR Congress Party,73305,7542,85.77,Vundavalli Sridevi,YSR Congress Party,86848,Tenali Sravan Kumar,Telugu Desam Party,82415,4433,Telugu Desam Party -->  YSR Congress Party
Guntur,206,Mangalagiri,Alla Rama Krishna Reddy,YSR Congress Party,88977,Ganji Chiranjeevi,Telugu Desam Party,88965,12,85.45,Alla Rama Krishna Reddy,YSR Congress Party,108464,Nara Lokesh,Telugu Desam Party,103127,5337,YSR Congress Party Hold
Guntur,207,Ponnur,Dhulipalla Narendra Kumar,Telugu Desam Party,88386,Ravi Venkata Ramana,YSR Congress Party,80625,7761,82.95,Kilari Venkata Rosaiah,YSR Congress Party,87570,Dhulipalla Narendra Kumar,Telugu Desam Party,86458,1112,Telugu Desam Party -->  YSR Congress Party
Guntur,208,Vemuru (SC),Nakka Ananda Babu,Telugu Desam Party,77222,Merugu Nagarjuna,YSR Congress Party,75095,2127,87.53,Merugu Nagarjuna,YSR Congress Party,81671,Nakka Ananda Babu,Telugu Desam Party,71672,9999,Telugu Desam Party -->  YSR Congress Party
Guntur,209,Repalle,Anagani Satya Prasad,Telugu Desam Party,85076,Mopidevi Venkataramana,YSR Congress Party,71721,13355,82.83,Anagani Satya Prasad,Telugu Desam Party,89975,Mopidevi Venkataramana,YSR Congress Party,78420,11555,Telugu Desam Party Hold
Guntur,210,Tenali,Alapati Rajendra Prasad,Telugu Desam Party,93524,Annabathuni Siva Kumar,YSR Congress Party,74459,19065,77.47,Annabathuni Siva Kumar,YSR Congress Party,94495,Alapati Rajendra Prasad,Telugu Desam Party,76846,17649,Telugu Desam Party -->  YSR Congress Party
Guntur,211,Bapatla,Kona Raghupathi,YSR Congress Party,71076,Annam Satish Prabhakar,Telugu Desam Party,65263,5813,82.58,Kona Raghupathi,YSR Congress Party,79836,Annam Satish Prabhakar,Telugu Desam Party,64637,15199,YSR Congress Party Hold
Guntur,212,Prathipadu (SC),Ravela Kishore Babu,Telugu Desam Party,96274,Mekathoti Sucharita,YSR Congress Party,88869,7405,84.21,Mekathoti Sucharita,YSR Congress Party,92508,Dokka Manikya Vara Prasad,Telugu Desam Party,85110,7398,Telugu Desam Party -->  YSR Congress Party
Guntur,213,Guntur West,Modugula Venugopala Reddy,Telugu Desam Party,78837,Appi Reddy Lella,YSR Congress Party,60924,17913,65.68,Maddali Giridhara Rao,Telugu Desam Party,71864,Chandragiri Yesuratnam,YSR Congress Party,67575,4289,Telugu Desam Party Hold
Guntur,214,Guntur East,Mohammad Musthafa Shaik,YSR Congress Party,74131,Maddali Giridhara Rao,Telugu Desam Party,70980,3151,69.99,Mohammad Musthafa Shaik,YSR Congress Party,77047,Mohammed Naseer,Telugu Desam Party,54956,22091,YSR Congress Party Hold
Guntur,215,Chilakaluripet,Prathipati Pulla Rao,Telugu Desam Party,89591,Marri Rajasekhar,YSR Congress Party,78907,10684,85.51,Vidadala Rajini,YSR Congress Party,94430,Prathipati Pulla Rao,Telugu Desam Party,86129,8301,Telugu Desam Party -->  YSR Congress Party
Guntur,216,Narasaraopet,Gopireddy Srinivasareddy,YSR Congress Party,87761,Nalabothu Venkata Rao,Bharatiya Janata Party,71995,15766,81.5,Gopireddy Srinivasareddy,YSR Congress Party,100994,Aravinda Babu Chadalavada,Telugu Desam Party,68717,32277,YSR Congress Party Hold
Guntur,217,Sattenapalle,Kodela Siva Prasada Rao,Telugu Desam Party,85247,Ambati Rambabu,YSR Congress Party,84323,924,87.77,Ambati Rambabu,YSR Congress Party,105063,Kodela Siva Prasada Rao,Telugu Desam Party,84187,20876,Telugu Desam Party -->  YSR Congress Party
Guntur,218,Vinukonda,G V Aanzaneyulu,Telugu Desam Party,104321,Nannapaneni Sudha,YSR Congress Party,82914,21407,88.16,Bolla Brahma Naidu,YSR Congress Party,120703,G V Aanzaneyulu,Telugu Desam Party,92075,28628,Telugu Desam Party -->  YSR Congress Party
Guntur,219,Gurajala,Yarapathineni Srinivasa Rao,Telugu Desam Party,94827,Janga Krishna Murthy,YSR Congress Party,87640,7187,83.52,Kasu Mahesh Reddy,YSR Congress Party,117204,Yarapathineni Srinivasa Rao,Telugu Desam Party,88591,28613,Telugu Desam Party -->  YSR Congress Party
Guntur,220,Macherla,Ramakrishna Reddy Pinnelli,YSR Congress Party,94249,Chalamareddy Kommareddy,Telugu Desam Party,90714,3535,84.41,Ramakrishna Reddy Pinnelli,YSR Congress Party,110406,Anji Reddy Annapureddy,Telugu Desam Party,88488,21918,YSR Congress Party Hold
Prakasam,221,Yerragondapalem (SC),Palaparthi David Raju,YSR Congress Party,85774,Budala Ajitha Rao,Telugu Desam Party,66703,19071,87.23,Adimulapu Suresh,YSR Congress Party,99408,Budala Ajitha Rao,Telugu Desam Party,67776,31632,YSR Congress Party Hold
Prakasam,222,Darsi,Sidda Raghava Rao,Telugu Desam Party,88821,Buchepalli Siva Prasad Reddy,YSR Congress Party,87447,1374,89.62,Maddisetty Venugopal,YSR Congress Party,111914,Kadiri Baburao,Telugu Desam Party,72857,39057,Telugu Desam Party -->  YSR Congress Party
Prakasam,223,Parchur,Yeluri Sambasiva Rao,Telugu Desam Party,97248,Gottipati Bharath Kumar,YSR Congress Party,86473,10775,87.56,Yeluri Sambasiva Rao,Telugu Desam Party,97076,Daggubati Venkateswara Rao,YSR Congress Party,95429,1647,Telugu Desam Party Hold
Prakasam,224,Addanki,Gottipati Ravikumar,YSR Congress Party,99537,Karanam Venkatesh,Telugu Desam Party,95302,4235,89.82,Gottipati Ravikumar,Telugu Desam Party,105545,Chenchu Garataiah Bachina,YSR Congress Party,92554,12991,YSR Congress Party -->  Telugu Desam Party
Prakasam,225,Chirala,Amanchi Krishna Mohan,Navodayam Party,57544,Pothula Suneetha,Telugu Desam Party,47209,10335,83.76,Karanam Balaram Krishna Murthy,Telugu Desam Party,83901,Amanchi Krishna Mohan,YSR Congress Party,66482,17419,Navodayam Party -->  Telugu Desam Party
Prakasam,226,Santhanuthalapadu (SC),Adimulapu Suresh,YSR Congress Party,80954,B. N. Vijay Kumar,Telugu Desam Party,79678,1276,83.86,T. J. R. Sudhakar Babu,YSR Congress Party,89160,B. N. Vijay Kumar,Telugu Desam Party,80082,9078,YSR Congress Party Hold
Prakasam,227,Ongole,Damacharla Janardhana Rao,Telugu Desam Party,93025,Balineni Srinivasa Reddy,YSR Congress Party,80597,12428,84.02,Balineni Srinivasa Reddy,YSR Congress Party,101022,Damacharla Janardhana Rao,Telugu Desam Party,78777,22245,Telugu Desam Party -->  YSR Congress Party
Prakasam,228,Kandukur,Pothula Rama Rao,YSR Congress Party,84538,Divi Siva Ram,Telugu Desam Party,80732,3806,88.86,Manugunta Maheedhar Reddy,YSR Congress Party,101275,Pothula Rama Rao,Telugu Desam Party,86339,14936,YSR Congress Party Hold
Prakasam,229,Kondapi (SC),Dola Sree Bala Veeranjaneya Swamy,Telugu Desam Party,92234,Jupudi Prabhakara Rao,YSR Congress Party,86794,5440,87.09,Dola Sree Bala Veeranjaneya Swamy,Telugu Desam Party,98142,Madasi Venkaiah,YSR Congress Party,97118,1024,Telugu Desam Party Hold
Prakasam,230,Markapuram,Janke Venkata Reddy,YSR Congress Party,82411,Kandula Narayana Reddy,Telugu Desam Party,72609,9802,85.22,Kunduru Nagarjuna Reddy,YSR Congress Party,92680,Kandula Narayana Reddy,Telugu Desam Party,74013,18667,YSR Congress Party Hold
Prakasam,231,Giddalur,Ashok Reddy Muthumula,YSR Congress Party,94413,Anna Rambabu,Telugu Desam Party,81520,12893,81.89,Anna Rambabu,YSR Congress Party,133111,Ashok Reddy Muthumula,Telugu Desam Party,52076,81035,YSR Congress Party Hold
Prakasam,232,Kanigiri,Kadiri Baburao,Telugu Desam Party,79492,Burra Madhu Sudhan Yadav,YSR Congress Party,72285,7207,82.23,Burra Madhu Sudhan Yadav,YSR Congress Party,112730,Mukku Ugra Narasimha Reddy,Telugu Desam Party,71827,40903,Telugu Desam Party -->  YSR Congress Party
Nellore,233,Kavali,Ramireddy Pratap Kumar Reddy,YSR Congress Party,89589,Beeda Masthan Rao,Telugu Desam Party,84620,4969,76.19,Ramireddy Pratap Kumar Reddy,YSR Congress Party,95828,Katamreddy Vishnu Vardhan Reddy,Telugu Desam Party,81711,14117,YSR Congress Party Hold
Nellore,234,Atmakur,Mekapati Goutham Reddy,YSR Congress Party,91686,Guturu Murali Kanna Babu,Telugu Desam Party,60274,31412,82.44,Mekapati Goutham Reddy,YSR Congress Party,92758,Bollineni Krishnaiah,Telugu Desam Party,70482,22276,YSR Congress Party Hold
Nellore,235,Kovur,Polam Reddy Srinivasulu Reddy,Telugu Desam Party,94108,Nallapa Reddy Prasanna Kumar Reddy,YSR Congress Party,86171,7937,77.92,Nallapa Reddy Prasanna Kumar Reddy,YSR Congress Party,116239,Polam Reddy Srinivasulu Reddy,Telugu Desam Party,76348,39891,Telugu Desam Party -->  YSR Congress Party
Nellore,236,Nellore City,Anil Kumar Poluboina,YSR Congress Party,74372,Mungamuru Sridhara Krishna Reddy,Telugu Desam Party,55285,19087,65.42,Anil Kumar Poluboina,YSR Congress Party,75040,Ponguru Narayana,Telugu Desam Party,73052,1988,YSR Congress Party Hold
Nellore,237,Nellore Rural,Kotamreddy Sridhar Reddy,YSR Congress Party,79103,Sannapureddy Suresh Reddy,Bharatiya Janata Party,53450,25653,65.16,Kotamreddy Sridhar Reddy,YSR Congress Party,85724,Abdul Aziz Shaik,Telugu Desam Party,64948,20776,YSR Congress Party Hold
Nellore,238,Sarvepalli,Kakani Govardhan Reddy,YSR Congress Party,85744,Chandra Mohan Reddy Somireddy,Telugu Desam Party,80298,5446,82.42,Kakani Govardhan Reddy,YSR Congress Party,97272,Chandra Mohan Reddy Somireddy,Telugu Desam Party,83299,13973,YSR Congress Party Hold
Nellore,239,Gudur (SC),Pasim Sunil Kumar,YSR Congress Party,80698,Bathala Radha Jyothsna Latha,Telugu Desam Party,71650,9048,78.12,Varaprasad Rao Velagapalli,YSR Congress Party,109759,Pasim Sunil Kumar,Telugu Desam Party,64301,45458,YSR Congress Party Hold
Nellore,240,Sullurpeta (SC),Kiliveti Sanjeevaiah,YSR Congress Party,85343,Parasa Venkata Rathnaiah,Telugu Desam Party,81617,3726,82.86,Kiliveti Sanjeevaiah,YSR Congress Party,119627,Parasa Venkata Rathnaiah,Telugu Desam Party,58335,61292,YSR Congress Party Hold
Nellore,241,Venkatagiri,Kurugondla Ramakrishna,Telugu Desam Party,83669,Kommi Lakshmaiah Naidu,YSR Congress Party,78034,5635,78.63,Anam Ramanarayana Reddy,YSR Congress Party,109204,Kurugondla Ramakrishna,Telugu Desam Party,70484,38720,Telugu Desam Party -->  YSR Congress Party
Nellore,242,Udayagiri,Bollineni Venkata Ramarao,Telugu Desam Party,85873,Mekapati Chandra Sekhar Reddy,YSR Congress Party,82251,3622,79.48,Mekapati Chandra Sekhar Reddy,YSR Congress Party,106487,Bollineni Venkata Ramarao,Telugu Desam Party,69959,36528,Telugu Desam Party -->  YSR Congress Party
Kadapa,243,Badvel (SC),Thiriveedi Jayaramulu,YSR Congress Party,78879,N D Vijaya Jyothi,Telugu Desam Party,68800,10079,77.64,G. Venkata Subbaiah,YSR Congress Party,95482,Obulapuram Raja Sekhar,Telugu Desam Party,50748,44734,YSR Congress Party Hold
Kadapa,244,Rajampet,Meda Venkata Mallikarjuna Reddy,Telugu Desam Party,83884,Amarnath Reddy Akepati,YSR Congress Party,72267,11617,76.07,Meda Venkata Mallikarjuna Reddy,YSR Congress Party,95266,Bathyala Changal Rayudu,Telugu Desam Party,59994,35272,Telugu Desam Party -->  YSR Congress Party
Kadapa,245,Kadapa,Amzath Basha Shaik Bepari,YSR Congress Party,95077,Durgaprasad Rao Sudha,Telugu Desam Party,49872,45205,62.14,Amzath Basha Shaik Bepari,YSR Congress Party,104822,Ameer Babu Nawabjan,Telugu Desam Party,50028,54794,YSR Congress Party Hold
Kadapa,246,Kodur (SC),Koramutla Sreenivasulu,YSR Congress Party,66820,Obili Subbaramaiah,Telugu Desam Party,64848,1972,75.29,Koramutla Sreenivasulu,YSR Congress Party,78312,Panthagani Narasimha Prasad,Telugu Desam Party,43433,34879,YSR Congress Party Hold
Kadapa,247,Rayachoti,Gadikota Srikanth Reddy,YSR Congress Party,96891,Ramesh Kumar Reddy Reddappagari,Telugu Desam Party,62109,34782,75.96,Gadikota Srikanth Reddy,YSR Congress Party,98990,Ramesh Kumar Reddy Reddappagari,Telugu Desam Party,66128,32862,YSR Congress Party Hold
Kadapa,248,Pulivendla,Y. S. Jaganmohan Reddy,YSR Congress Party,124576,Satish Reddy Singareddy,Telugu Desam Party,49333,75243,80.87,Y. S. Jaganmohan Reddy,YSR Congress Party,132356,Satish Reddy Singareddy,Telugu Desam Party,42246,90110,YSR Congress Party Hold
Kadapa,249,Kamalapuram,Pochimareddy Ravindranath Reddy,YSR Congress Party,78547,Putha Narasimha Reddy,Telugu Desam Party,73202,5345,82.58,Pochimareddy Ravindranath Reddy,YSR Congress Party,88482,Putha Narasimha Reddy,Telugu Desam Party,61149,27333,YSR Congress Party Hold
Kadapa,250,Jammalamadugu,Chadipirala Adinarayana Reddy,YSR Congress Party,100794,Rama Subba Reddy Ponnapureddy,Telugu Desam Party,88627,12167,85.4,Mule Sudheer Reddy,YSR Congress Party,125005,Rama Subba Reddy Ponnapureddy,Telugu Desam Party,73364,51641,YSR Congress Party Hold
Kadapa,251,Proddatur,Rachamallu Siva Prasad Reddy,YSR Congress Party,93866,Nandyala Varada Rajulu Reddy,Telugu Desam Party,80921,12945,76.67,Rachamallu Siva Prasad Reddy,YSR Congress Party,107941,Mallela Linga Reddy,Telugu Desam Party,64793,43148,YSR Congress Party Hold
Kadapa,252,Mydukur,Raghuramireddy Settipalli,YSR Congress Party,85539,Putta Sudhakar Yadav,Telugu Desam Party,74017,11522,82.6,Raghuramireddy Settipalli,YSR Congress Party,94849,Putta Sudhakar Yadav,Telugu Desam Party,65505,29344,YSR Congress Party Hold
Kurnool,253,Allagadda,Bhima Shobha Nagi Reddy,YSR Congress Party,92108,Gangula Prabhakara Reddy,Telugu Desam Party,74180,17928,84.26,Gangula Brijendra Reddy,YSR Congress Party,105905,Bhuma Akhila Priya,Telugu Desam Party,70292,35613,YSR Congress Party Hold
Kurnool,254,Srisailam,Budda Rajasekhara Reddy,YSR Congress Party,74249,Silpa Chakrapani Reddy,Telugu Desam Party,69388,4861,82.54,Silpa Chakrapani Reddy,YSR Congress Party,92236,Budda Rajasekhara Reddy,Telugu Desam Party,53538,38698,YSR Congress Party Hold
Kurnool,255,Nandikotkur (SC),Isaiah Yakkaladevi,YSR Congress Party,87496,Labbi Venkata Swamy,Telugu Desam Party,65682,21814,86.98,Thoguru Arthur,YSR Congress Party,102565,Bandi Jayaraju,Telugu Desam Party,61955,40610,YSR Congress Party Hold
Kurnool,256,Kurnool,S.V.Mohan Reddy,YSR Congress Party,57962,T. G. Venkatesh,Telugu Desam Party,54483,3479,59.53,Abdul Hafeez Khan,YSR Congress Party,72819,T.G.Bharath,Telugu Desam Party,67466,5353,YSR Congress Party Hold
Kurnool,257,Panyam,Gowru Charitha Reddy,YSR Congress Party,72245,Katasani Rambhupal Reddy,Secular Democratic Labour Party of India,60598,11647,74.41,Katasani Rambhupal Reddy,YSR Congress Party,122476,Gowru Charitha Reddy,Telugu Desam Party,78619,43857,YSR Congress Party Hold
Kurnool,258,Nandyal,Bhuma Nagi Reddy,YSR Congress Party,82194,Silpa Mohan Reddy,Telugu Desam Party,78590,3604,76.81,Shilpa Ravi Chandra Kishore Reddy,YSR Congress Party,108868,Bhuma Brahmananda Reddy,Telugu Desam Party,74308,34560,YSR Congress Party Hold
Kurnool,259,Banaganapalle,B.C.Janardhan Reddy,Telugu Desam Party,95727,Katasani Rami Reddy,YSR Congress Party,78386,17341,80.48,Katasani Rami Reddy,YSR Congress Party,99998,B.C.Janardhan Reddy,Telugu Desam Party,86614,13384,Telugu Desam Party -->  YSR Congress Party
Kurnool,260,Dhone,Buggana Rajendranath,YSR Congress Party,83683,K.E. Prathap,Telugu Desam Party,72531,11152,78.94,Buggana Rajendranath,YSR Congress Party,100845,K.E. Prathap,Telugu Desam Party,65329,35516,YSR Congress Party Hold
Kurnool,261,Pattikonda,K. E. Krishnamurthy,Telugu Desam Party,62706,Kotla Hari Chakrapani Reddy,YSR Congress Party,54807,7899,83.97,Kangati Sreedevi,YSR Congress Party,100981,K.E. Shyam Kumar,Telugu Desam Party,58916,42065,Telugu Desam Party -->  YSR Congress Party
Kurnool,262,Kodumur (SC),M Mani Gandhi,YSR Congress Party,84206,Madharapu Renuka,Bharatiya Janata Party,31822,52384,78.77,Jaradoddi Sudhakar,YSR Congress Party,95037,Burla Ramanjaneyulu,Telugu Desam Party,58992,36045,YSR Congress Party Hold
Kurnool,263,Yemmiganur,B Jaya Nageswara Reddy,Telugu Desam Party,84483,K Jagan Mohan Reddy,YSR Congress Party,70122,14361,79.15,K Chenna Kesava Reddy,YSR Congress Party,96498,B Jaya Nageswara Reddy,Telugu Desam Party,70888,25610,Telugu Desam Party -->  YSR Congress Party
Kurnool,264,Mantralayam,Y Balanagi Reddy,YSR Congress Party,69858,Palakurthi Thikka Reddy,Telugu Desam Party,62396,7462,84.98,Y Balanagi Reddy,YSR Congress Party,86896,Palakurthi Thikka Reddy,Telugu Desam Party,63017,23879,YSR Congress Party Hold
Kurnool,265,Adoni,Y Sai Prasad Reddy,YSR Congress Party,72121,Konka Meenakshi Naidu,Telugu Desam Party,55290,16831,65.31,Y Sai Prasad Reddy,YSR Congress Party,74109,Konka Meenakshi Naidu,Telugu Desam Party,61790,12319,YSR Congress Party Hold
Kurnool,266,Alur,Gummanur Jayaram,YSR Congress Party,69466,B Veerabhadra Gowd,Telugu Desam Party,67547,1919,79.91,Gummanur Jayaram,YSR Congress Party,107101,Kotla Sujathamma,Telugu Desam Party,67205,39896,YSR Congress Party Hold
Anantapur,267,Rayadurg,Kalava Srinivasulu,Telugu Desam Party,92344,Kapu Ramachandra Reddy,YSR Congress Party,90517,1827,86.02,Kapu Ramachandra Reddy,YSR Congress Party,109043,Kalava Srinivasulu,Telugu Desam Party,94994,14049,Telugu Desam Party -->  YSR Congress Party
Anantapur,268,Uravakonda,Y. Visweswara Reddy,YSR Congress Party,81042,Payyavula Keshav,Telugu Desam Party,78767,2275,86.2,Payyavula Keshav,Telugu Desam Party,90209,Y. Visweswara Reddy,YSR Congress Party,88077,2132,YSR Congress Party -->  Telugu Desam Party
Anantapur,269,Guntakal,R.Jitendra Gowd,Telugu Desam Party,81655,Y.Venkatarama Reddy,YSR Congress Party,76561,5094,75.78,Y.Venkatarama Reddy,YSR Congress Party,106922,R.Jitendra Gowd,Telugu Desam Party,58390,48532,Telugu Desam Party -->  YSR Congress Party
Anantapur,270,Tadpatri,J C Prabhakar Reddy,Telugu Desam Party,96740,V R Rami Reddy,YSR Congress Party,74568,22172,81.25,K. Pedda Reddy,YSR Congress Party,92911,Ashmit Reddy.J.C.,Telugu Desam Party,85400,7511,Telugu Desam Party -->  YSR Congress Party
Anantapur,271,Singanamala (SC),B Yamini Bala,Telugu Desam Party,86679,Padmavathy Jonnalagadda,YSR Congress Party,82095,4584,84.44,Padmavathy Jonnalagadda,YSR Congress Party,118044,Bandaru Sravani Sree,Telugu Desam Party,71802,46242,Telugu Desam Party -->  YSR Congress Party
Anantapur,272,Anantapur Urban,Prabhakar Chowdary .V,Telugu Desam Party,74704,B Gurunatha Reddy,YSR Congress Party,65370,9334,63.18,Anantha Venkatarami Reddy,YSR Congress Party,88704,Prabhakar Chowdary .V,Telugu Desam Party,60006,28698,Telugu Desam Party -->  YSR Congress Party
Anantapur,273,Kalyandurg,Vunnam Hanumantharaya Chowdary,Telugu Desam Party,91981,Boya Thippe Swamy,YSR Congress Party,69662,22319,86.75,K. V. Ushashri Charan,YSR Congress Party,88051,Umamaheswara Naidu Madineni,Telugu Desam Party,68155,19896,Telugu Desam Party -->  YSR Congress Party
Anantapur,274,Raptadu,Paritala Sunitha,Telugu Desam Party,91394,Thopudurthi Prakash Reddy,YSR Congress Party,83620,7774,82.33,Thopudurthi Prakash Reddy,YSR Congress Party,111201,Paritala Sreeram,Telugu Desam Party,85626,25575,Telugu Desam Party -->  YSR Congress Party
Anantapur,275,Madakasira (SC),K. Eranna,Telugu Desam Party,76741,M. Thippeswamy,YSR Congress Party,62029,14712,88.37,M. Thippeswamy,YSR Congress Party,88527,K. Eranna,Telugu Desam Party,75391,13136,Telugu Desam Party -->  YSR Congress Party
Anantapur,276,Hindupur,Nandamuri Balakrishna,Telugu Desam Party,81543,B Naveen Nischal,YSR Congress Party,65347,16196,77.5,Nandamuri Balakrishna,Telugu Desam Party,91704,Shaik Mohammed Iqbal,YSR Congress Party,74676,17028,Telugu Desam Party Hold
Anantapur,277,Penukonda,B K Parthasarathi,Telugu Desam Party,79793,Malagundla Sankaranarayana,YSR Congress Party,62378,17415,86.99,Malagundla Sankaranarayana,YSR Congress Party,96607,B K Parthasarathi,Telugu Desam Party,81549,15058,Telugu Desam Party -->  YSR Congress Party
Anantapur,278,Puttaparthi,Palle Raghunatha Reddy,Telugu Desam Party,76910,Chinthapanti Somasekhara Reddy,YSR Congress Party,69946,6964,85.36,Duddukunta Sreedhar Reddy,YSR Congress Party,97234,Palle Raghunatha Reddy,Telugu Desam Party,65979,31255,Telugu Desam Party -->  YSR Congress Party
Anantapur,279,Dharmavaram,Gonuguntla Suryanarayana,Telugu Desam Party,99246,Kethireddy Venkatarami Reddy,YSR Congress Party,85035,14211,86.5,Kethireddy Venkatarami Reddy,YSR Congress Party,106024,Gonuguntla Suryanarayana,Telugu Desam Party,90738,15286,Telugu Desam Party -->  YSR Congress Party
Anantapur,280,Kadiri,Attar Chand Basha,YSR Congress Party,81639,Kandikunta Venkata Prasad,Telugu Desam Party,80671,968,79.95,P.V. Sidda Reddy,YSR Congress Party,102432,Kandikunta Venkata Prasad,Telugu Desam Party,75189,27243,YSR Congress Party Hold
Chittoor,281,Thamballapalle,G Shankar,Telugu Desam Party,82090,Anipireddy Venkata Praveen Kumar Reddy,YSR Congress Party,72900,9190,84,Peddireddi Dwarakanatha Reddy,YSR Congress Party,105444,G Shankar,Telugu Desam Party,58506,46938,Telugu Desam Party -->  YSR Congress Party
Chittoor,282,Pileru,C Ramachandra Reddy,YSR Congress Party,71949,Nallari Kishan Kumar Reddy,Jai Samaikyandhra Party,56636,15313,77.1,C Ramachandra Reddy,YSR Congress Party,87300,Nallari Kishan Kumar Reddy,Telugu Desam Party,79426,7874,YSR Congress Party Hold
Chittoor,283,Madanapalle,D Thippa Reddy,YSR Congress Party,81252,Challapalle Narasimha Reddy,Bharatiya Janata Party,64663,16589,73.44,M. Nawaz Basha,YSR Congress Party,92066,Dommalapati Ramesh,Telugu Desam Party,62418,29648,YSR Congress Party Hold
Chittoor,284,Punganur,Peddireddy Ramachandra Reddy,YSR Congress Party,104587,M Venkataramana Raju,Telugu Desam Party,72856,31731,85.15,Peddireddy Ramachandra Reddy,YSR Congress Party,107431,N Anesha Reddy,Telugu Desam Party,63876,43555,YSR Congress Party Hold
Chittoor,285,Chandragiri,Chevireddy Bhaskar Reddy,YSR Congress Party,100924,Aruna Kumari Galla,Telugu Desam Party,96406,4518,78.18,Chevireddy Bhaskar Reddy,YSR Congress Party,127790,Pulivarthi Venkatamani Prasad,Telugu Desam Party,86035,41755,YSR Congress Party Hold
Chittoor,286,Tirupati,M Venkataramana,Telugu Desam Party,99313,Bhumana Karunakar Reddy,YSR Congress Party,57774,41539,66.05,Bhumana Karunakar Reddy,YSR Congress Party,80544,M Suguna,Telugu Desam Party,79836,708,Telugu Desam Party -->  YSR Congress Party
Chittoor,287,Srikalahasti,Bojjala Gopala Krishna Reddy,Telugu Desam Party,89953,Biyyapu Madhusudhan Reddy,YSR Congress Party,82370,7583,81.81,Biyyapu Madhusudhan Reddy,YSR Congress Party,109541,Bojjala Venkata Sudhir Reddy,Telugu Desam Party,71400,38141,Telugu Desam Party -->  YSR Congress Party
Chittoor,288,Satyavedu (SC),Talari Aditya,Telugu Desam Party,77655,Adimulam Koneti,YSR Congress Party,73428,4227,86.09,Adimulam Koneti,YSR Congress Party,103941,Jadda Rajasekhar,Telugu Desam Party,59197,44744,Telugu Desam Party -->  YSR Congress Party
Chittoor,289,Nagari,R. K. Roja,YSR Congress Party,74724,Gali Muddu Krishnama Naidu,Telugu Desam Party,73866,858,86.22,R. K. Roja,YSR Congress Party,80333,Gali Bhanu Prakash,Telugu Desam Party,77625,2708,YSR Congress Party Hold
Chittoor,290,Gangadhara Nellore (SC),K. Narayana Swamy,YSR Congress Party,84538,Kuthuhalam Gummadi,Telugu Desam Party,63973,20565,85.86,K. Narayana Swamy,YSR Congress Party,103038,Anaganti Harikrishna,Telugu Desam Party,57444,45594,YSR Congress Party Hold
Chittoor,291,Chittoor,D A Sathya Prabha,Telugu Desam Party,73430,Aranii Srenevasulu,YSR Congress Party,66631,6799,79.34,Aranii Srenevasulu,YSR Congress Party,91206,A.S. Manohar,Telugu Desam Party,51238,39968,Telugu Desam Party -->  YSR Congress Party
Chittoor,292,Puthalapattu (SC),M Sunil Kumar,YSR Congress Party,83200,Lalitha Kumari,Telugu Desam Party,82298,902,85.52,M. Babu,YSR Congress Party,103265,Lalitha Kumari,Telugu Desam Party,74102,29163,YSR Congress Party Hold
Chittoor,293,Palamaner,Amarnatha Reddy. N,YSR Congress Party,96541,R V Subash Chandra Bose,Telugu Desam Party,93651,2890,86.12,N Venkate Gowda,YSR Congress Party,119241,Amarnatha Reddy. N,Telugu Desam Party,87625,31616,YSR Congress Party Hold
Chittoor,294,Kuppam,N. Chandrababu Naidu,Telugu Desam Party,102952,Krishna Chandra Mouli,YSR Congress Party,69424,47121,85.47,N. Chandrababu Naidu,Telugu Desam Party,100146,Krishna Chandra Mouli,YSR Congress Party,69424,30722,Telugu Desam Party Hold
